name,age,hometown,job,outcome,season
Lindsey Hawkins,25,"Livonia, Michigan",Model,Week 3,./season_11.csv
Sarah Newlon,23,"O'Fallon, Illinois",Bar manager,Week 3,./season_11.csv
Solisa Shoop,25,"Georgetown, Texas",Esthetician,Week 3,./season_11.csv
Erin Gardner,25,"Tampa, Florida",Publishing sales executive,Week 2,./season_11.csv
Mallory Simons,24,"Honolulu, Hawaii",Nanny,Week 2,./season_11.csv
Michele Leavy,30,"South Brunswick, New Jersey",Realtor,Week 2,./season_11.csv
Jessica Kiss,27,"Lady Lake, Florida",News anchor,Week 1,./season_11.csv
Julia Gilliam,24,"Chicago, Illinois",Law student,Week 1,./season_11.csv
Kimberly Orville,31,"Woodbridge, Connecticut",Realtor,Week 1,./season_11.csv
Lori Langley,33,"Annapolis, Maryland",Biology teacher,Week 1,./season_11.csv
Melissa Buschel,28,"Armonk, New York",Event planner,Week 1,./season_11.csv
Morgan Becker,24,"Tempe, Arizona",Graduate student,Week 1,./season_11.csv
Natalie Velasco,25,"Duncanville, Texas",Law student,Week 1,./season_11.csv
Regina Doringa,31,"San Diego, California",Account representative,Week 1,./season_11.csv
Tauni Nessler ,31,"St. Louis Park, Minnesota",Emergency room nurse,Week 1,./season_11.csv
Susan Coolidge,35,"St. Charles, Illinois",Project analyst,Week 1,./season_11.csv
Shayne Lamas,22,"Malibu, California",Actress,Winner,./season_12.csv
Chelsea Wanstrath,25,"Durango, Colorado",Pharmaceutical sales rep.,Runner-up,./season_12.csv
Amanda Rantuccio,27,"Niceville, Florida",Account Executive,Week 7,./season_12.csv
Noelle Drake,26,"Loveland, Colorado",Photographer,Week 6,./season_12.csv
Marshana Ritchie,27,"Brooklyn, New York",Fashion designer,Week 5,./season_12.csv
Robin Canfield,22,"Holland, Michigan",Advertising coordinator,Week 5,./season_12.csv
Ashlee Williss,22,"Jacksonville Beach, Florida",Singer-songwriter,Week 4,./season_12.csv
Kelly Hark,25,"Hollywood, California",Medical sales representative,Week 4,./season_12.csv
Holly Durst,24,"Suffield, Ohio",Children's book author,Week 4,./season_12.csv
Amy Bean,22,"Stockton, California",Nanny,Week 3,./season_12.csv
Erin Storm,33,"San Marcos, California",Vendor,Week 3,./season_12.csv
Kristine Heffelfinger,33,"Dillsburg, Pennsylvania",Personal trainer,Week 3,./season_12.csv
Caroline Carri Perrier,25,"Oklahoma City, Oklahoma",Church marketing rep.,Week 2,./season_12.csv
Erin Harper,25,"Seattle, Washington",Event planner,Week 2,./season_12.csv
Michelle Procopio,28,"Syracuse, New York",Administrative assistant,Week 2,./season_12.csv
Alyssa Johnson,24,"Boise, Idaho",Biology student,Week 1,./season_12.csv
Amanda Peterman,26,"Cape Girardeau, Missouri",Law student,Week 1,./season_12.csv
Denise Gitsham,30,"Washington, D.C.",Attorney and former White House aide,Week 1,./season_12.csv
Devon Grisham,24,"Austin, Texas",Make-up artist,Week 1,./season_12.csv
Lesley Geyer,23,"Tampa, Florida",Youth minister,Week 1,./season_12.csv
Michele Romero,33,"Laguna Niguel, California",Interior designer,Week 1,./season_12.csv
Rebecca LeBlanc,30,"Alamo, California",Attorney,Week 1,./season_12.csv
Stacey Elza,26,"Chicago, Illinois",Graduate student,Week 1,./season_12.csv
Tamara Marco,23,"Beverly Hills, California",Cocktail waitress,Week 1,./season_12.csv
Tiffany Hickenbottom,33,"San Francisco, California",Real estate marketing rep.,Week 1,./season_12.csv
Melissa Rycroft,25,"Dallas, Texas",Sales Representative,Winner,./season_13.csv
Molly Malaney,24,"Brookfield, Wisconsin",Department Store Buyer,Runner-Up,./season_13.csv
Jillian Harris,29,"Peace River, Alberta",Interior Designer,Week 7,./season_13.csv
Naomi Crespo,24,"Carlsbad, California",Flight Attendant,Week 6,./season_13.csv
Stephanie Hogan,34,"Huntsville, Alabama",Medical Marketing Representative,Week 5,./season_13.csv
Lauren Wanger,27,"Marlboro, New Jersey",Teacher,Week 4,./season_13.csv
Megan Parris,25,"Sewickley, Pennsylvania",Lacrosse Coach,Week 4,./season_13.csv
Shannon Bair,29,"Marshall, Missouri",Dental Hygienist,Week 4,./season_13.csv
Nikki Kaapke,29,"Blue Island, Illinois",Administrative Assistant,Week 4,./season_13.csv
Erica DeSimone,25,"Monroe, Connecticut",Account Executive,Week 3,./season_13.csv
Kari Fajen,27,"Lee's Summit, Missouri",Account Executive,Week 3,./season_13.csv
Natalie Getz,27,"Morton, Illinois",Human Resources Recruiter,Week 3,./season_13.csv
Raquel Medeiros,27,"Recife, Pernambuco",Medical Student,Week 2,./season_13.csv
Sharon Staebell,32,"Batavia, New York",Teacher,Week 2,./season_13.csv
Lisa Gonzalez,28,"Boise, Idaho",Public Relations Associate,Week 2,./season_13.csv
Ann Lueders,24,"Phoenix, Arizona",Flight Attendant,Week 1,./season_13.csv
Dominique Carta,26,"Mount Carmel, Pennsylvania",Medical Sales Representative,Week 1,./season_13.csv
Emily,23,"Seattle, Washington",Casino Marketing Representative,Week 1,./season_13.csv
Jackie Hickley,26,"Springfield, Massachusetts",Wedding Coordinator,Week 1,./season_13.csv
Julie Dermotta,26,"Columbus, Ohio",Teacher,Week 1,./season_13.csv
Nicole Mah,25,"Calgary, Alberta",Menswear Buyer,Week 1,./season_13.csv
Renee Simlak,36,"Southfield, Michigan",Jewelry Designer,Week 1,./season_13.csv
Shelby Callas,23,"Stockton, California",Account Executive,Week 1,./season_13.csv
Stacia Mann,24,"Orem, Utah",Charity Accountant,Week 1,./season_13.csv
Treasure Morgan,28,"Salt Lake City, Utah",Nurse Practitioner,Week 1,./season_13.csv
Vienna Girardi,23,"Geneva, Florida",Marketing Representative,Winner,./season_14.csv
Tenley Molzahn,25,"Newberg, Oregon",College Admissions,Runner-Up,./season_14.csv
Gia Allemand,26,"Manorville, New York",Swimsuit Model,Week 7,./season_14.csv
Ali Fedotowsky,25,"Williamstown, Massachusetts",Advertising Account Manager,Week 6,./season_14.csv
Corrie Adamson,23,"Kissimmee, Florida",Wardrobe Consultant,Week 5,./season_14.csv
Ashleigh Hunt,25,"North Potomac, Maryland",Account Manager,Week 4,./season_14.csv
Jessica Sulidis,25,"Oakville, Ontario",Cosmetic Sales Manager,Week 4,./season_14.csv
Kathryn Sherlock,25,"Lexington, Kentucky",Corporate Flight Attendant,Week 4,./season_14.csv
Ella Nolan,30,"La Follette, Tennessee",Hair Stylist,Week 4,./season_14.csv
Elizabeth Kitt (NE),29,"Imperial, Nebraska",Nanny,Week 3,./season_14.csv
Valishia Savage,32,"San Bernardino, California",Homemaker,Week 3,./season_14.csv
Michelle Kujawa,26,"Anaheim, California",Office Manager,Week 3,./season_14.csv
Ashley Elmore,29,"Pittsburgh, Pennsylvania",Teacher,Week 2,./season_14.csv
Christina McCasland,25,"Encinitas, California",Restaurant Manager,Week 2,./season_14.csv
Rozlyn Papa,28,"Richmond, Virginia",Model/Make-Up Artist,Week 2,./season_14.csv
Alexa McAllister,25,"Galloway, Ohio",Entrepreneur,Week 1,./season_14.csv
Caitlyn McCabe,24,"Winfield, Illinois",Spokesmodel,Week 1,./season_14.csv
Channy Choch,29,"Santa Rosa, California",Mortgage Loan Officer,Week 1,./season_14.csv
Elizabeth Kreft (D.C.),29,"Union, Kentucky","Captain, Air National Guard",Week 1,./season_14.csv
Emily Harkins,23,"West Chester, Ohio",Fit Model,Week 1,./season_14.csv
Kimberly Sullivan,24,"Norman, Oklahoma",NBA Dancer,Week 1,./season_14.csv
Kirsten Pittman,25,"Aurora, Colorado",Waitress,Week 1,./season_14.csv
Sheila Lidner,25,"Scottsdale, Arizona",Commercial Pilot,Week 1,./season_14.csv
Stephanie Mueller,24,"Morris, Illinois",Dance Teacher,Week 1,./season_14.csv
Tiana Kruzel,31,"Calgary, Alberta",Medical Technician,Week 1,./season_14.csv
Catherine Giudici,26,"Seattle, Washington",Graphic Designer,Winner,./season_17.csv
Lindsay Yenter,24,"Fort Leonard Wood, Missouri",Substitute Teacher,Runner-up,./season_17.csv
AshLee Frazier,32,"Houston, Texas",Personal Organizer,Week 9,./season_17.csv
Desiree Hartsock,26,"Northglenn, Colorado",Bridal Stylist,Week 8,./season_17.csv
Lesley Murphy,25,"Fort Smith, Arkansas",Political Consultant,Week 7,./season_17.csv
Tierra LiCausi,24,"Las Vegas, Nevada",Leasing Consultant,Week 7,./season_17.csv
Daniella McBride,24,"Belmont, California",Commercial Casting Associate,Week 6,./season_17.csv
Selma Alameri,29,"Borrego Springs, California",Real Estate Dealer,Week 6,./season_17.csv
Sarah Herron,26,"Evergreen, Colorado",Advertising Executive,Week 6,./season_17.csv
Robyn Howard,24,"Topeka, Kansas",Oil Field Account Manager,Week 5,./season_17.csv
Jacqueline Parr,25,"Ormond Beach, Florida",Cosmetics Consultant,Week 5,./season_17.csv
Amanda Meyer,26,"Bakersfield, California",Fit Model,Week 4,./season_17.csv
Leslie Hughes,28,"Ruskin, Florida",Poker Dealer,Week 4,./season_17.csv
Kristina Kaminski,25,"Darien, Wisconsin",Model,Week 3,./season_17.csv
Taryn Renee Daniels,30,"Troutdale, Oregon",Health Club Manager,Week 3,./season_17.csv
Kacie Boguskie,25,"Clarksville, Tennessee",Administrative Assistant,Week 3,./season_17.csv
Brooke Burchette,25,"Pittsburgh, Pennsylvania",Community Organizer,Week 2,./season_17.csv
Diana Weeks Willardson,31,"Sandy, Utah",Salon Owner,Week 2,./season_17.csv
Katherine Levans,27,"Woodstock, Illinois",Yoga Instructor,Week 2,./season_17.csv
Ashley Harper,25,"Garner, North Carolina",Fashion Model,Week 1,./season_17.csv
Ashley Palenkas,28,"Macomb, Michigan",Hair Stylist,Week 1,./season_17.csv
Kelly Dutton,28,"Chattanooga, Tennessee",Cruise Ship Entertainer,Week 1,./season_17.csv
Keriann Miranda,29,"Agoura Hills, California",Entrepreneur,Week 1,./season_17.csv
Lacey Latka,24,"Stevenson Ranch, California",Graduate Student,Week 1,./season_17.csv
Lauren Marchetti,27,"Cranston, Rhode Island",Journalist,Week 1,./season_17.csv
Paige Vigil,25,"Minnetonka, Minnesota",Jumbotron Operator,Week 1,./season_17.csv
Nikki Ferrell,26,"Kearney, Missouri",Pediatric Nurse,Winner,./season_18.csv
Clare Crawley,32,"Sacramento, California",Hairstylist,Runner-up,./season_18.csv
Andi Dorfman,26,"Buckhead, Georgia",Assistant District Attorney,Week 9,./season_18.csv
Renee Oteri,32,"Martha's Vineyard, Massachusetts",Real Estate Agent,Week 8,./season_18.csv
Chelsie Webster,24,"Lexington, Ohio",Science Educator,Week 7,./season_18.csv
Sharleen Joynt,29,"Ottawa, Ontario",Opera Singer,Week 7,./season_18.csv
Katherine Hurd,29,"Iowa City, Iowa",Medical Sales Rep,Week 6,./season_18.csv
Cassandra Ferguson,22,"Rochester Hills, Michigan",Former NBA Dancer,Week 6,./season_18.csv
Allison Restko,26,"Orland Park, Illinois",Nanny,Week 5,./season_18.csv
Danielle Ronco,25,"Litchfield, Illinois",Psychiatric Nurse,Week 5,./season_18.csv
Kelly Travis,27,"Conyers, Georgia",Dog Lover,Week 5,./season_18.csv
Elise Mosca,27,"Forty Fort, Pennsylvania",First Grade Teacher,Week 4,./season_18.csv
Lauren Solomon,26,"Clinton, Michigan",Music Composer,Week 4,./season_18.csv
Christy Hansen,24,"Aurora, Illinois",Marketing Manager,Week 3,./season_18.csv
Lucinda Aragon,25,"Santa Barbara, California",Free Spirit,Week 3,./season_18.csv
Amy Long,27,"Clermont, Florida",Local News Reporter,Week 2,./season_18.csv
Chantel Forrest,27,"Miami, Florida",Account Manager,Week 2,./season_18.csv
Victoria Lima,24,"Porto Alegre, Brazil",Legal Assistant,Week 2,./season_18.csv
Alexis Morgado,24,"Tampa, Florida",Communications Director,Week 1,./season_18.csv
Amy Jokinen,31,"Apopka, Florida",Massage Therapist,Week 1,./season_18.csv
Ashley Poe,25,"Roanoke, Texas",Grade School Teacher,Week 1,./season_18.csv
Christine Llano,23,"Miami, Florida",Police Support Specialist,Week 1,./season_18.csv
Kylie Lewis,23,"Rockford, Illinois",Interior Designer,Week 1,./season_18.csv
Lacy Faddoul,25,"Antelope Acres, California",Nursing Home Owner,Week 1,./season_18.csv
Lauren Higginson,25,"Edmond, Oklahoma",Mineral Coordinator,Week 1,./season_18.csv
Maggie Gantt,25,"Wagener, South Carolina",Personal Banker,Week 1,./season_18.csv
Valerie Eredia,26,"Sutter, California",Personal Trainer,Week 1,./season_18.csv
Whitney Bischoff,29,"Louisville, Kentucky",Fertility Nurse,Winner,./season_19.csv
Becca Tilley,25,"Shreveport, Louisiana",Chiropractic Assistant,Runner-up,./season_19.csv
Kaitlyn Bristowe,29,"Leduc, Alberta",Dance Instructor,Week 9,./season_19.csv
Jade Roper,28,"Gering, Nebraska",Cosmetics Developer,Week 8,./season_19.csv
Carly Waddell,29,"Arlington, Texas",Cruise Ship Singer,Week 7,./season_19.csv
Britt Nilsson,27,"Wolcott Mills, Michigan",Waitress,Week 7,./season_19.csv
Megan Bell,24,"Brentwood, Tennessee",Make-Up Artist,Week 6,./season_19.csv
Kelsey Poe,28,"Hudsonville, Michigan",Guidance Counselor,Week 6,./season_19.csv
Ashley Iaconetti,26,"Great Falls, Virginia",Journalist,Week 6,./season_19.csv
Mackenzie Deonigi,21,"Maple Valley, Washington",Dental Assistant,Week 5,./season_19.csv
Samantha Steffen,27,"Indianapolis, Indiana",Fashion Designer,Week 5,./season_19.csv
Ashley Salter,24,"Vinings, Georgia",Hair Stylist,Week 4,./season_19.csv
Juelia Kinney,30,"Beaverton, Oregon",Esthetician,Week 4,./season_19.csv
Nikki Delventhal,26,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,Week 4,./season_19.csv
Jillian Anderson,25,"Howland, Ohio",News Producer,Week 4,./season_19.csv
Amber James,29,"Kankakee, Illinois",Bartender,Week 3,./season_19.csv
Tracy Darakis,29,"Wellington, Florida",Fourth Grade Teacher,Week 3,./season_19.csv
Trina Scherenberg,33,"Algonquin, Illinois",Special Education Teacher,Week 3,./season_19.csv
Alissa Giambrone,24,"Hamilton, New Jersey",Flight Attendant,Week 2,./season_19.csv
Jordan Branch,24,"Windsor, Colorado",Student,Week 2,./season_19.csv
Kimberly Sherbach,28,"Wantagh, New York",Yoga Instructor,Week 2,./season_19.csv
Tandra Steiner,30,"Sandy, Utah",Executive Assistant,Week 2,./season_19.csv
Tara Eddings,26,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,Week 2,./season_19.csv
Amanda Goerlitz,24,"Lake in the Hills, Illinois",Ballet Teacher,Week 1,./season_19.csv
Bo Stanley,25,"Carpinteria, California",Plus-Size Model,Week 1,./season_19.csv
Brittany Fetkin,26,"Temecula, California",WWE Diva-in-Training,Week 1,./season_19.csv
Kara Wilson,25,"Brownsville, Kentucky",High School Soccer Coach,Week 1,./season_19.csv
Michelle Davis,25,"Provo, Utah",Wedding Cake Baker,Week 1,./season_19.csv
Nicole Meacham,31,"Scottsdale, Arizona",Real Estate Agent,Week 1,./season_19.csv
Reegan Cornwell,28,"Manhattan Beach, California",Cadaver Tissue Saleswoman,Week 1,./season_19.csv
Lauren Bushnell,25,"West Linn, Oregon",Flight Attendant,Winner,./season_20.csv
Joelle Fletcher,24,"Dallas, Texas",Real Estate Developer,Runner-up,./season_20.csv
Caila Quinn,24,"Hudson, Ohio",Software Sales Representative,Week 9,./season_20.csv
Amanda Stanton,25,"Laguna Beach, California",Esthetician,Week 8,./season_20.csv
Becca Tilley,26,"Shreveport, Louisiana",Chiropractic Assistant,Week 7,./season_20.csv
Emily Ferguson,23,"Las Vegas, Nevada",Waitress,Week 6,./season_20.csv
Lauren Himle,25,"Dexter, Michigan",Kindergarten Teacher,Week 6,./season_20.csv
Olivia Caridi,23,"Austin, Texas",Former News Anchor,Week 6,./season_20.csv
Leah Block,25,"Greenwood Village, Colorado",Event Planner,Week 6,./season_20.csv
Jennifer Saviano,25,"Davie, Florida",Small Business Owner,Week 5,./season_20.csv
Jubilee Sharpe,24,"Fort Lauderdale, Florida",War Veteran,Week 5,./season_20.csv
Amber James,30,"Kankakee, Illinois",Bartender,Week 4,./season_20.csv
Rachel Tchen,23,"Little Rock, Arkansas",Unemployed,Week 4,./season_20.csv
